Customer ID,Recency,Frequency,Monetary,Cluster
12348,75,5,2019.4,2
12350,310,1,334.4,0
12351,375,1,300.93,0
12352,36,10,2849.84,2
12353,204,2,406.76,0
12354,232,1,1079.4,3
12355,214,2,947.61,3
12358,2,5,3887.07,2
12361,287,4,511.25,3
12363,110,2,552.0,1
12364,8,4,1313.1,2
12365,291,2,641.38,3
12366,634,1,500.24,0
12367,4,1,168.9,1
12368,628,1,917.7,3
12369,413,3,1791.15,3
12372,72,3,1298.04,3
12373,311,3,1127.65,3
12374,25,4,2989.22,2
12375,11,2,457.5,1
12376,390,2,503.15,3
12377,315,4,3426.32,3
12379,82,4,1620.22,3
12381,5,5,1845.31,2
12383,185,5,1850.56,3
12384,29,2,585.27,1
12385,379,1,1938.4,3
12386,338,2,401.9,0
12387,415,1,143.94,0
12388,16,8,3901.11,2
12389,403,3,1433.33,3
12390,80,1,549.84,1
12391,22,6,2724.84,2
12392,591,1,234.75,0
12393,72,6,2399.45,2
12394,64,2,1272.48,1
12396,674,1,931.43,3
12397,36,2,2409.9,1
12398,46,1,1635.66,1
12399,119,7,1962.3,2
12400,414,1,205.25,0
12401,303,1,84.3,0
12402,323,6,1256.9,3
12403,50,2,1019.36,1
12404,682,1,63.24,0
12405,149,1,1710.39,3
12407,50,5,1708.12,2
12410,309,3,1013.71,3
12411,410,1,346.9,0
12412,75,6,2596.93,2
12413,67,4,999.45,3
12414,217,6,952.41,3
12416,657,1,202.56,0
12418,113,4,2021.2,3
12419,386,2,503.01,3
12420,64,1,600.39,1
12421,16,6,1098.6,2
12423,1,10,2622.39,2
12424,163,4,3340.03,3
12425,78,2,1741.41,3
12426,195,2,1345.21,3
12427,22,3,825.8,1
12430,43,1,256.4,1
12434,85,3,1103.43,3
12436,100,1,509.01,1
12438,14,2,2906.85,1
12439,683,2,1142.88,3
12440,462,2,859.2,3
12441,367,1,173.55,0
12442,3,1,172.06,1
12443,732,1,485.31,0
12445,22,2,434.98,1
12446,58,1,1002.31,1
12447,243,1,476.49,0
12448,44,1,449.45,1
12450,156,5,688.2,3
12452,17,2,430.57,1
12453,134,1,707.09,0
12456,44,3,3181.04,2
12457,66,8,2995.91,2
12458,71,4,1777.49,3
12459,605,1,454.36,0
12460,456,1,326.65,0
12461,94,2,826.88,3
12462,19,2,1189.59,1
12463,53,4,1344.78,2
12464,10,8,1212.05,2
12465,17,2,742.19,1
12466,682,1,56.73,0
12467,423,1,132.8,0
12468,188,5,3670.74,3
12469,523,2,3070.54,3
12470,690,1,211.95,0
12473,29,5,3928.05,2
12475,54,2,1149.64,1
12478,4,1,680.99,1
12479,11,1,527.2,1
12485,529,1,708.1,0
12486,432,1,1037.28,3
12487,731,1,285.3,0
12488,10,3,1298.66,1
